case_id,verdict,reason,raw_response,parse_status,persona,modality,runtime_seconds
TC11,PASS,"Primary CTA is visible, visually distinct from neutral chrome (distinguishable from background), and the description indicates no layout disruption.","{""verdict"":""PASS"",""reason"":""Primary CTA is visible, visually distinct from neutral chrome (distinguishable from background), and the description indicates no layout disruption.""}",OK,strict senior QA engineer,text-only (expected+properties),5.2
TC12,PASS,"Rendered behavior states the placeholder is fully visible without clipping, which satisfies sufficient width, no mid-character clipping, and preserved form layout.","{""verdict"":""PASS"",""reason"":""Rendered behavior states the placeholder is fully visible without clipping, which satisfies sufficient width, no mid-character clipping, and preserved form layout.""}",OK,strict senior QA engineer,text-only (expected+properties),5.85
TC13,PASS,"Delete buttons are visible inside each list row, satisfying within-row bounds, no-scroll locatability, and preserved row layout.","{""verdict"":""PASS"",""reason"":""Delete buttons are visible inside each list row, satisfying within-row bounds, no-scroll locatability, and preserved row layout.""}",OK,strict senior QA engineer,text-only (expected+properties),6.18
TC14,FAIL,Rendered behavior only confirms the Add button is present in the header form; it does not establish that the button is visible (not hidden via CSS) nor that clicking it successfully submits a new todo. Two of the three required properties are unverified by the description.,"{""verdict"":""FAIL"",""reason"":""Rendered behavior only confirms the Add button is present in the header form; it does not establish that the button is visible (not hidden via CSS) nor that clicking it successfully submits a new todo. Two of the three required properties are unverified by the description.""}",OK,strict senior QA engineer,text-only (expected+properties),4.57
TC15,PASS,"Rendered behavior states rounded surface treatment is consistent and no content is clipped, satisfying all three properties: no clipping, consistent rounded corners, and preserved layout integrity.","{""verdict"":""PASS"",""reason"":""Rendered behavior states rounded surface treatment is consistent and no content is clipped, satisfying all three properties: no clipping, consistent rounded corners, and preserved layout integrity.""}",OK,strict senior QA engineer,text-only (expected+properties),5.24
TC16,PASS,"Rendered behavior states the background renders without disrupting card legibility, which satisfies legibility, contrast, and layout integrity properties.","{""verdict"":""PASS"",""reason"":""Rendered behavior states the background renders without disrupting card legibility, which satisfies legibility, contrast, and layout integrity properties.""}",OK,strict senior QA engineer,text-only (expected+properties),5.36
TC17,PASS,"Italic footer labels are described as legible, with no truncation or layout disruption indicated; all three properties hold.","{""verdict"":""PASS"",""reason"":""Italic footer labels are described as legible, with no truncation or layout disruption indicated; all three properties hold.""}",OK,strict senior QA engineer,text-only (expected+properties),5.06
TC18,PASS,"Rendered behavior states the new-todo input has an associated label (visible or programmatic), which satisfies the label association, screen reader announcement of field purpose, and preserved form accessibility.","{""verdict"":""PASS"",""reason"":""Rendered behavior states the new-todo input has an associated label (visible or programmatic), which satisfies the label association, screen reader announcement of field purpose, and preserved form accessibility.""}",OK,strict senior QA engineer,text-only (expected+properties),6.59
TC19,PASS,Pills remain on a single row; increased height does not imply wrapping or hidden options; all three filter options remain visible and layout integrity is preserved.,"{""verdict"":""PASS"",""reason"":""Pills remain on a single row; increased height does not imply wrapping or hidden options; all three filter options remain visible and layout integrity is preserved.""}",OK,strict senior QA engineer,text-only (expected+properties),5.26
TC20,PASS,"Rendered behavior states no modal blocks the application without a dismiss affordance, satisfying all three properties: no blocking overlay without close, UI remains reachable, and any modal has a visible close control.","{""verdict"":""PASS"",""reason"":""Rendered behavior states no modal blocks the application without a dismiss affordance, satisfying all three properties: no blocking overlay without close, UI remains reachable, and any modal has a visible close control.""}",OK,strict senior QA engineer,text-only (expected+properties),6.63
TC21,PASS,Wordmark stays within header; form remains visible; layout integrity preserved.,"{""verdict"":""PASS"",""reason"":""Wordmark stays within header; form remains visible; layout integrity preserved.""}",OK,strict senior QA engineer,text-only (expected+properties),9.3
TC22,PASS,Rows are visually separated with no overlap; labels remain readable and list item spacing is preserved.,"{""verdict"":""PASS"",""reason"":""Rows are visually separated with no overlap; labels remain readable and list item spacing is preserved.""}",OK,strict senior QA engineer,text-only (expected+properties),3.29
TC23,PASS,"Rendered behavior states body text contrast against background meets the 3:1 minimum, satisfying the contrast ratio threshold, legibility, and absence of accessibility contrast violations.","{""verdict"":""PASS"",""reason"":""Rendered behavior states body text contrast against background meets the 3:1 minimum, satisfying the contrast ratio threshold, legibility, and absence of accessibility contrast violations.""}",OK,strict senior QA engineer,text-only (expected+properties),5.49
TC24,PASS,"Rendered behavior states the error banner is fully visible and not occluded, satisfying non-occlusion, full text readability, and preserved stacking context.","{""verdict"":""PASS"",""reason"":""Rendered behavior states the error banner is fully visible and not occluded, satisfying non-occlusion, full text readability, and preserved stacking context.""}",OK,strict senior QA engineer,text-only (expected+properties),9.15
